Or_ID,C_ID,P_ID,Order_Date,Order_Time,Qty,Coupon,DP_ID,Discount
OR_31000001,CS_11005317,PD_21001301,2024-02-27,22:02:00,1,"No Coupon",DV_61000001,0
OR_31000002,CS_11000423,PD_21003593,2024-01-21,08:33:31,5,PULL,DV_61000002,25
OR_31000003,CS_11001042,PD_21004315,2024-09-22,17:26:05,1,"No Coupon",DV_61000002,0
OR_31000004,CS_11004079,PD_21007443,2023-05-26,03:15:48,10,AGREEMENT,DV_61000003,10
OR_31000005,CS_11009894,PD_21007621,2023-10-26,04:02:44,7,WINDOW,DV_61000001,10
OR_31000006,CS_11004976,PD_21002407,2023-12-09,07:58:24,1,FALL,DV_61000003,25
OR_31000007,CS_11009282,PD_21005526,2023-05-12,23:40:21,9,TEAM,DV_61000002,25
OR_31000008,CS_11006858,PD_21000111,2023-05-18,23:41:25,9,"No Coupon",DV_61000001,0
OR_31000009,CS_11005938,PD_21001544,2024-06-03,13:21:46,5,"No Coupon",DV_61000005,0
OR_31000010,CS_11005448,PD_21006481,2024-07-10,10:07:44,3,THROUGH,DV_61000002,25
OR_31000011,CS_11009752,PD_21007275,2023-09-07,05:29:35,4,BUILDING,DV_61000002,12
OR_31000012,CS_11004980,PD_21009453,2024-03-20,06:00:29,7,"No Coupon",DV_61000002,0
OR_31000013,CS_11007513,PD_21003896,2023-06-13,18:51:21,5,INTERNATIONAL,DV_61000001,35
OR_31000014,CS_11007086,PD_21008854,2024-02-29,20:39:10,4,"No Coupon",DV_61000004,0
OR_31000015,CS_11007590,PD_21007625,2024-10-27,00:37:51,3,"No Coupon",DV_61000005,0
OR_31000016,CS_11007877,PD_21004003,2024-10-13,19:50:26,4,"No Coupon",DV_61000005,0
OR_31000017,CS_11002235,PD_21007374,2024-03-12,07:38:08,9,BODY,DV_61000003,12
OR_31000018,CS_11000444,PD_21003638,2023-04-25,14:22:54,7,"No Coupon",DV_61000001,0
OR_31000019,CS_11008524,PD_21008614,2023-05-25,07:34:21,9,BOX,DV_61000002,12
OR_31000020,CS_11002127,PD_21005925,2024-08-12,21:56:45,8,ATTACK,DV_61000004,10
OR_31000021,CS_11009588,PD_21001597,2024-04-01,17:42:09,4,"No Coupon",DV_61000001,0
OR_31000022,CS_11004660,PD_21003136,2024-05-07,18:26:15,3,PER,DV_61000001,25
OR_31000023,CS_11001442,PD_21003055,2024-09-09,01:05:38,1,SUGGEST,DV_61000004,10
OR_31000024,CS_11007833,PD_21000713,2023-03-29,02:11:30,10,PROCESS,DV_61000002,25
OR_31000025,CS_11009125,PD_21009352,2024-07-13,07:17:50,6,SIMILAR,DV_61000001,10
OR_31000026,CS_11007956,PD_21000016,2024-03-14,05:28:58,4,PRETTY,DV_61000005,25
OR_31000027,CS_11004988,PD_21006652,2023-03-18,17:38:25,10,"No Coupon",DV_61000005,0
OR_31000028,CS_11008486,PD_21001063,2023-06-04,11:03:23,5,"No Coupon",DV_61000004,0
OR_31000029,CS_11007053,PD_21003431,2024-10-15,16:22:55,5,"No Coupon",DV_61000002,0
OR_31000030,CS_11002892,PD_21000209,2023-03-26,12:33:08,10,WAY,DV_61000004,10
OR_31000031,CS_11002244,PD_21007956,2023-03-21,19:45:11,5,NATURAL,DV_61000001,10
OR_31000032,CS_11009729,PD_21005935,2024-12-09,12:58:00,10,MONTH,DV_61000005,15
OR_31000033,CS_11009163,PD_21003963,2023-02-22,21:19:51,4,"No Coupon",DV_61000003,0
OR_31000034,CS_11001081,PD_21001874,2023-06-03,13:42:01,5,"No Coupon",DV_61000004,0
OR_31000035,CS_11009765,PD_21006413,2024-12-09,17:36:49,7,"No Coupon",DV_61000003,0
