P_ID,P_Name,Category,Company_Name,Gender,Price
PD_21000001,Distressed Stretch Denim Charcoal Faded Jeans,Jeans,Puma,Unisex,1589
PD_21000002,Straight Leg Cotton Blend Light Blue Faded Jeans,Jeans,Gap,Men,2211
PD_21000003,Single-Breasted Cashmere Gray Houndstooth Blazer,Blazer,Reebok,Unisex,2797
PD_21000004,Cropped Knit Dark Green Textured Hoodie,Hoodie,Puma,Men,2160
PD_21000005,Formal Silk Olive Green Solid Shirt,Shirt,Levi's,Women,566
PD_21000006,Midi Cotton Charcoal Polka Dot Dress,Dress,Puma,Unisex,1480
PD_21000007,Asymmetrical Chiffon Brown Textured Skirt,Skirt,H&M,Men,2793
PD_21000008,Pullover Acrylic Navy Blue Embroidered Hoodie,Hoodie,H&M,Women,1487
PD_21000009,Denim Spandex Beige Colorblock Shorts,Shorts,Puma,Women,1054
PD_21000010,Denim Spandex Brown Checkered Shorts,Shorts,Zara,Men,861
PD_21000011,Pleated Satin Black Geometric Skirt,Skirt,Pantaloons,Men,683
PD_21000012,Graphic Rayon Maroon Tie-Dye T-Shirt,T-Shirt,Levi's,Men,812
PD_21000013,Regular Fit Jersey Olive Green Solid T-Shirt,T-Shirt,H&M,Unisex,752
PD_21000014,Oversized Acrylic Maroon Camouflage Hoodie,Hoodie,Nike,Men,1176
PD_21000015,Formal Jersey Olive Green Solid Shirt,Shirt,Gap,Men,2453
PD_21000016,Single-Breasted Cotton Gray Solid Blazer,Blazer,Nike,Women,2741
PD_21000017,Baja Nylon Black Colorblock Hoodie,Hoodie,Reebok,Men,2965
PD_21000018,Fitted Polyester Brown Camouflage Hoodie,Hoodie,H&M,Women,2935
PD_21000019,Mandarin Collar Silk Charcoal Striped Shirt,Shirt,H&M,Women,966
PD_21000020,Field Polyester Gray Quilted Jacket,Jacket,Zara,Unisex,930
PD_21000021,Raglan Nylon Gray Textured Hoodie,Hoodie,Adidas,Unisex,916
PD_21000022,Pullover Merino Wool Navy Blue Embroidered Sweater,Sweater,Gap,Unisex,1852
PD_21000023,Athletic Spandex White Printed Shorts,Shorts,Zara,Unisex,1622
PD_21000024,Tiered Polyester Maroon Embroidered Skirt,Skirt,Zara,Women,647
PD_21000025,Bomber Tweed White Checkered Jacket,Jacket,Pantaloons,Men,2882
PD_21000026,Formal Denim Beige Embroidered Shirt,Shirt,Reebok,Unisex,1780
PD_21000027,Pullover Cotton Dark Green Solid Sweater,Sweater,Zara,Women,2051
PD_21000028,Relaxed Fit Fleece Maroon Embroidered Shorts,Shorts,Levi's,Women,703
