R_ID,Or_ID,Prod_Rating,Delivery_Service_Rating
RT_101000001,OR_31009479,4,5
RT_101000002,OR_31001385,2,2
RT_101000003,OR_31005731,5,1
RT_101000004,OR_31000188,1,3
RT_101000005,OR_31005904,3,1
RT_101000006,OR_31006118,3,2
RT_101000007,OR_31001368,1,5
RT_101000008,OR_31005381,5,1
RT_101000009,OR_31001591,4,4
RT_101000010,OR_31004653,1,5
RT_101000011,OR_31008935,3,3
RT_101000012,OR_31009481,2,3
RT_101000013,OR_31002133,3,3
RT_101000014,OR_31006612,2,4
RT_101000015,OR_31005706,2,1
RT_101000016,OR_31000105,5,4
RT_101000017,OR_31000763,3,1
RT_101000018,OR_31004363,3,3
RT_101000019,OR_31003546,4,5
RT_101000020,OR_31004183,5,1
RT_101000021,OR_31008413,1,2
RT_101000022,OR_31001786,5,4
RT_101000023,OR_31005332,2,2
RT_101000024,OR_31000166,4,4
RT_101000025,OR_31006292,5,4
RT_101000026,OR_31009131,5,4
RT_101000027,OR_31009989,2,3
RT_101000028,OR_31005989,5,3
RT_101000029,OR_31007688,1,1
RT_101000030,OR_31004377,2,5
RT_101000031,OR_31003703,4,2
RT_101000032,OR_31009477,1,2
RT_101000033,OR_31003502,2,3
RT_101000034,OR_31004545,1,5
RT_101000035,OR_31002704,3,2
RT_101000036,OR_31007829,3,5
RT_101000037,OR_31008310,2,1
RT_101000038,OR_31000207,1,2
RT_101000039,OR_31006337,2,5
RT_101000040,OR_31000836,3,1
RT_101000041,OR_31001668,1,5
RT_101000042,OR_31006506,2,3
RT_101000043,OR_31001856,1,5
RT_101000044,OR_31002464,3,2
RT_101000045,OR_31007116,3,1
RT_101000046,OR_31004199,5,5
RT_101000047,OR_31000594,2,5
RT_101000048,OR_31009833,2,2
RT_101000049,OR_31004637,1,5
RT_101000050,OR_31005301,2,5
RT_101000051,OR_31005660,1,2
RT_101000052,OR_31009829,4,1
RT_101000053,OR_31009409,2,2
RT_101000054,OR_31009433,3,3
RT_101000055,OR_31005892,4,1
RT_101000056,OR_31006153,1,5
RT_101000057,OR_31007147,2,5
RT_101000058,OR_31000082,5,3
RT_101000059,OR_31004669,3,2
RT_101000060,OR_31009803,3,5
RT_101000061,OR_31005522,1,2
RT_101000062,OR_31005430,5,1
RT_101000063,OR_31007433,4,5
RT_101000064,OR_31003014,3,4
RT_101000065,OR_31006580,3,2
