RT_ID,Or_ID,Reason,Return_Refund,Dates
RR_301000001,OR_31004141,"Wrong Item Shipped",Approved,2023-04-08
RR_301000002,OR_31008145,"Late Delivery",Rejected,2024-05-13
RR_301000003,OR_31005212,"Wrong Item Shipped",Approved,2023-11-01
RR_301000004,OR_31006318,"Late Delivery",Rejected,2024-05-16
RR_301000005,OR_31007423,"Defective Product",Approved,2023-06-10
RR_301000006,OR_31007254,"Defective Product",Approved,2023-10-30
RR_301000007,OR_31009500,"Defective Product",Approved,2024-08-10
RR_301000008,OR_31006981,"Late Delivery",Rejected,2023-06-21
RR_301000009,OR_31009851,"Defective Product",Rejected,2023-10-20
RR_301000010,OR_31002437,"Wrong Item Shipped",Rejected,2024-08-25
RR_301000011,OR_31001447,"Defective Product",Approved,2024-09-09
RR_301000012,OR_31005871,"Wrong Item Shipped",Rejected,2023-01-09
RR_301000013,OR_31002228,"Defective Product",Approved,2023-12-17
RR_301000014,OR_31002408,"Wrong Item Shipped",Approved,2023-01-21
RR_301000015,OR_31001805,"Defective Product",Approved,2024-04-08
RR_301000016,OR_31001605,"Late Delivery",Rejected,2023-08-18
RR_301000017,OR_31000357,"Defective Product",Rejected,2023-05-10
RR_301000018,OR_31002727,"Defective Product",Approved,2024-08-05
RR_301000019,OR_31001116,"Defective Product",Rejected,2024-05-19
RR_301000020,OR_31006099,"Late Delivery",Approved,2023-03-19
RR_301000021,OR_31006615,"Defective Product",Rejected,2023-10-31
RR_301000022,OR_31003631,"Late Delivery",Approved,2024-08-08
RR_301000023,OR_31005590,"Wrong Item Shipped",Approved,2023-06-03
RR_301000024,OR_31009603,"Defective Product",Approved,2023-02-25
RR_301000025,OR_31004806,"Late Delivery",Rejected,2023-01-05
RR_301000026,OR_31003786,"Wrong Item Shipped",Approved,2024-10-19
RR_301000027,OR_31000004,"Late Delivery",Rejected,2024-10-15
RR_301000028,OR_31007645,"Defective Product",Approved,2023-04-15
RR_301000029,OR_31002345,"Defective Product",Approved,2024-07-05
RR_301000030,OR_31000148,"Wrong Item Shipped",Approved,2024-09-02
RR_301000031,OR_31002563,"Late Delivery",Rejected,2024-11-26
RR_301000032,OR_31005333,"Late Delivery",Approved,2023-10-30
RR_301000033,OR_31008415,"Defective Product",Approved,2023-04-14
RR_301000034,OR_31008740,"Defective Product",Approved,2023-12-16
RR_301000035,OR_31006466,"Wrong Item Shipped",Rejected,2024-04-25
RR_301000036,OR_31008190,"Late Delivery",Approved,2023-12-13
RR_301000037,OR_31004245,"Wrong Item Shipped",Approved,2023-02-11
RR_301000038,OR_31000789,"Defective Product",Approved,2024-02-15
RR_301000039,OR_31001444,"Wrong Item Shipped",Rejected,2024-07-07
RR_301000040,OR_31008509,"Wrong Item Shipped",Rejected,2024-06-10
RR_301000041,OR_31007156,"Wrong Item Shipped",Approved,2024-03-14
RR_301000042,OR_31003276,"Wrong Item Shipped",Rejected,2023-01-09
RR_301000043,OR_31002626,"Defective Product",Rejected,2023-04-14
RR_301000044,OR_31007234,"Late Delivery",Approved,2023-03-22
RR_301000045,OR_31002855,"Defective Product",Approved,2024-04-02
RR_301000046,OR_31009074,"Late Delivery",Rejected,2024-10-12
RR_301000047,OR_31005931,"Wrong Item Shipped",Approved,2024-02-10
RR_301000048,OR_31000057,"Defective Product",Approved,2024-02-04
RR_301000049,OR_31005861,"Wrong Item Shipped",Rejected,2024-10-31
RR_301000050,OR_31005902,"Wrong Item Shipped",Approved,2024-06-18
RR_301000051,OR_31009388,"Late Delivery",Approved,2023-04-04
RR_301000052,OR_31007014,"Late Delivery",Rejected,2023-07-25
RR_301000053,OR_31009330,"Defective Product",Rejected,2024-11-21
RR_301000054,OR_31009970,"Wrong Item Shipped",Approved,2023-07-19
RR_301000055,OR_31007563,"Defective Product",Approved,2024-08-08
RR_301000056,OR_31000713,"Late Delivery",Rejected,2023-02-26
RR_301000057,OR_31006022,"Defective Product",Approved,2023-08-15
RR_301000058,OR_31000463,"Wrong Item Shipped",Approved,2023-08-07
RR_301000059,OR_31002912,"Late Delivery",Approved,2023-05-29
RR_301000060,OR_31002803,"Late Delivery",Rejected,2024-08-23
RR_301000061,OR_31001436,"Defective Product",Approved,2024-01-05
RR_301000062,OR_31008333,"Late Delivery",Approved,2024-11-06
RR_301000063,OR_31008203,"Late Delivery",Approved,2023-08-16
RR_301000064,OR_31000331,"Late Delivery",Approved,2024-03-10
RR_301000065,OR_31006483,"Late Delivery",Approved,2023-12-01
RR_301000066,OR_31009159,"Late Delivery",Rejected,2024-11-05
RR_301000067,OR_31009010,"Wrong Item Shipped",Rejected,2024-04-15
RR_301000068,OR_31003423,"Late Delivery",Rejected,2024-05-25
RR_301000069,OR_31001345,"Late Delivery",Rejected,2024-05-09
RR_301000070,OR_31001654,"Late Delivery",Rejected,2023-11-21
RR_301000071,OR_31003295,"Defective Product",Approved,2023-09-22
RR_301000072,OR_31008350,"Defective Product",Approved,2023-07-15
