Tr_ID,Or_ID,Transaction_Mode,Reward
TR_41000001,OR_31002037,Wallet,No
TR_41000002,OR_31008376,Wallet,Yes
TR_41000003,OR_31002152,UPI,No
TR_41000004,OR_31009239,"Credit Card",Yes
TR_41000005,OR_31002891,"Debit Card",No
TR_41000006,OR_31000512,"Net Banking",No
TR_41000007,OR_31009237,UPI,Yes
TR_41000008,OR_31005717,Wallet,Yes
TR_41000009,OR_31005308,"Net Banking",Yes
TR_41000010,OR_31008657,Wallet,No
TR_41000011,OR_31005972,"Debit Card",No
TR_41000012,OR_31000290,"Credit Card",No
TR_41000013,OR_31004075,"Net Banking",Yes
TR_41000014,OR_31004131,UPI,Yes
TR_41000015,OR_31006688,UPI,Yes
TR_41000016,OR_31001960,"Credit Card",Yes
TR_41000017,OR_31001849,UPI,No
TR_41000018,OR_31006738,"Net Banking",No
TR_41000019,OR_31002757,"Credit Card",Yes
TR_41000020,OR_31006495,"Debit Card",Yes
TR_41000021,OR_31002724,"Credit Card",Yes
TR_41000022,OR_31004864,"Debit Card",No
TR_41000023,OR_31007254,"Net Banking",Yes
TR_41000024,OR_31006322,"Credit Card",No
TR_41000025,OR_31005636,UPI,No
TR_41000026,OR_31008832,UPI,No
TR_41000027,OR_31000705,Wallet,No
TR_41000028,OR_31003182,"Net Banking",No
TR_41000029,OR_31007358,Wallet,Yes
TR_41000030,OR_31006928,"Net Banking",Yes
TR_41000031,OR_31000296,"Net Banking",No
TR_41000032,OR_31009771,"Credit Card",No
TR_41000033,OR_31000299,UPI,No
TR_41000034,OR_31009270,"Net Banking",Yes
TR_41000035,OR_31009348,"Debit Card",No
TR_41000036,OR_31001439,"Net Banking",Yes
TR_41000037,OR_31003035,"Debit Card",Yes
TR_41000038,OR_31000111,UPI,Yes
TR_41000039,OR_31002732,"Net Banking",Yes
TR_41000040,OR_31002743,"Net Banking",Yes
TR_41000041,OR_31001409,"Credit Card",No
TR_41000042,OR_31002385,UPI,Yes
TR_41000043,OR_31000944,"Net Banking",Yes
TR_41000044,OR_31009538,UPI,No
TR_41000045,OR_31007554,UPI,Yes
TR_41000046,OR_31004582,Wallet,No
TR_41000047,OR_31005691,Wallet,No
TR_41000048,OR_31006811,"Net Banking",No
TR_41000049,OR_31006583,UPI,Yes
TR_41000050,OR_31004764,"Net Banking",No
TR_41000051,OR_31007389,"Debit Card",Yes
TR_41000052,OR_31008529,UPI,Yes
TR_41000053,OR_31004225,"Credit Card",Yes
TR_41000054,OR_31000935,"Credit Card",Yes
TR_41000055,OR_31009246,UPI,No
TR_41000056,OR_31000845,"Net Banking",No
TR_41000057,OR_31003379,UPI,Yes
TR_41000058,OR_31005163,"Net Banking",Yes
TR_41000059,OR_31009597,Wallet,Yes
TR_41000060,OR_31003353,Wallet,Yes
TR_41000061,OR_31009211,"Net Banking",Yes
TR_41000062,OR_31007553,"Debit Card",Yes
TR_41000063,OR_31009558,"Credit Card",Yes
TR_41000064,OR_31006295,"Debit Card",No
TR_41000065,OR_31006815,Wallet,Yes
TR_41000066,OR_31005456,Wallet,No
TR_41000067,OR_31007471,"Debit Card",Yes
TR_41000068,OR_31004220,"Net Banking",Yes
TR_41000069,OR_31003115,Wallet,Yes
TR_41000070,OR_31003718,"Debit Card",No
TR_41000071,OR_31009136,UPI,Yes
TR_41000072,OR_31005557,UPI,Yes
TR_41000073,OR_31000238,"Credit Card",No
TR_41000074,OR_31000315,UPI,Yes
TR_41000075,OR_31008182,"Credit Card",No
TR_41000076,OR_31008895,"Net Banking",No
TR_41000077,OR_31006471,UPI,Yes
TR_41000078,OR_31003380,Wallet,No
TR_41000079,OR_31005983,"Net Banking",Yes
TR_41000080,OR_31008838,"Net Banking",Yes
TR_41000081,OR_31003969,"Debit Card",No
TR_41000082,OR_31005774,UPI,Yes
TR_41000083,OR_31002815,"Net Banking",No
TR_41000084,OR_31007652,UPI,No
TR_41000085,OR_31004706,UPI,Yes
TR_41000086,OR_31008657,"Net Banking",Yes
TR_41000087,OR_31004051,"Credit Card",No
TR_41000088,OR_31002784,"Net Banking",No
TR_41000089,OR_31000499,Wallet,Yes
TR_41000090,OR_31001526,"Net Banking",No
TR_41000091,OR_31005595,"Debit Card",Yes
TR_41000092,OR_31000389,Wallet,No
TR_41000093,OR_31009530,"Credit Card",Yes
TR_41000094,OR_31006142,"Debit Card",No
TR_41000095,OR_31008078,"Net Banking",Yes
TR_41000096,OR_31007262,UPI,No
TR_41000097,OR_31009853,UPI,No
TR_41000098,OR_31006906,UPI,No
TR_41000099,OR_31003359,"Net Banking",Yes
TR_41000100,OR_31002361,"Net Banking",Yes
TR_41000101,OR_31004182,"Net Banking",No
TR_41000102,OR_31000754,"Credit Card",Yes
TR_41000103,OR_31006517,"Debit Card",Yes
TR_41000104,OR_31005388,"Debit Card",No
TR_41000105,OR_31007988,"Debit Card",No
TR_41000106,OR_31009180,"Debit Card",Yes
TR_41000107,OR_31008092,"Net Banking",No
TR_41000108,OR_31006132,"Debit Card",Yes
TR_41000109,OR_31003245,"Net Banking",Yes
TR_41000110,OR_31003244,"Debit Card",Yes
TR_41000111,OR_31008976,"Net Banking",No
TR_41000112,OR_31000194,"Net Banking",No
TR_41000113,OR_31001929,"Debit Card",No
TR_41000114,OR_31002420,"Credit Card",Yes
TR_41000115,OR_31007685,UPI,Yes
TR_41000116,OR_31009989,"Net Banking",Yes
TR_41000117,OR_31000016,"Debit Card",No
TR_41000118,OR_31004531,Wallet,No
TR_41000119,OR_31008037,"Credit Card",No
TR_41000120,OR_31000028,UPI,No
TR_41000121,OR_31001071,"Debit Card",No
TR_41000122,OR_31009184,"Net Banking",Yes
TR_41000123,OR_31005896,"Net Banking",No
TR_41000124,OR_31006943,"Net Banking",No
TR_41000125,OR_31001753,"Debit Card",No
TR_41000126,OR_31000856,Wallet,No
TR_41000127,OR_31002964,"Credit Card",Yes
TR_41000128,OR_31002177,"Debit Card",No
TR_41000129,OR_31002749,"Net Banking",No
TR_41000130,OR_31007465,Wallet,No
TR_41000131,OR_31003684,"Debit Card",Yes
TR_41000132,OR_31009113,UPI,Yes
TR_41000133,OR_31006895,"Debit Card",No
TR_41000134,OR_31000493,"Debit Card",No
TR_41000135,OR_31005380,"Credit Card",Yes
TR_41000136,OR_31001283,"Credit Card",Yes
TR_41000137,OR_31002467,"Debit Card",No
TR_41000138,OR_31008847,UPI,Yes
TR_41000139,OR_31009406,"Net Banking",Yes
TR_41000140,OR_31004611,"Net Banking",Yes
TR_41000141,OR_31009101,"Net Banking",Yes
TR_41000142,OR_31001956,"Debit Card",No
TR_41000143,OR_31002818,Wallet,No
TR_41000144,OR_31001410,UPI,Yes
TR_41000145,OR_31004181,Wallet,No
TR_41000146,OR_31005849,"Debit Card",Yes
TR_41000147,OR_31007936,"Credit Card",No
TR_41000148,OR_31001879,"Credit Card",Yes
TR_41000149,OR_31001047,"Credit Card",Yes
TR_41000150,OR_31007116,"Net Banking",No
TR_41000151,OR_31007849,Wallet,Yes
TR_41000152,OR_31004583,"Credit Card",Yes
TR_41000153,OR_31000527,"Debit Card",No
TR_41000154,OR_31007373,"Net Banking",Yes
TR_41000155,OR_31007920,UPI,No
TR_41000156,OR_31003291,Wallet,Yes
TR_41000157,OR_31001177,Wallet,No
TR_41000158,OR_31000502,"Net Banking",No
TR_41000159,OR_31005604,Wallet,Yes
TR_41000160,OR_31009128,"Debit Card",No
TR_41000161,OR_31005656,Wallet,No
TR_41000162,OR_31002630,Wallet,No
TR_41000163,OR_31007845,"Credit Card",No
TR_41000164,OR_31003051,"Net Banking",Yes
TR_41000165,OR_31001003,UPI,Yes
TR_41000166,OR_31001613,"Net Banking",No
TR_41000167,OR_31002335,UPI,Yes
TR_41000168,OR_31005614,UPI,Yes
TR_41000169,OR_31001340,"Credit Card",No
TR_41000170,OR_31005721,"Net Banking",Yes
TR_41000171,OR_31005759,"Debit Card",Yes
TR_41000172,OR_31003632,"Net Banking",No
TR_41000173,OR_31003383,"Credit Card",No
TR_41000174,OR_31009244,"Credit Card",Yes
TR_41000175,OR_31009589,"Credit Card",Yes
TR_41000176,OR_31006063,"Net Banking",Yes
TR_41000177,OR_31003318,"Credit Card",No
TR_41000178,OR_31004580,"Debit Card",No
TR_41000179,OR_31004094,"Debit Card",Yes
TR_41000180,OR_31008177,Wallet,Yes
TR_41000181,OR_31004797,"Net Banking",Yes
TR_41000182,OR_31007301,"Net Banking",No
TR_41000183,OR_31003996,"Credit Card",Yes
TR_41000184,OR_31001168,Wallet,Yes
TR_41000185,OR_31009332,Wallet,No
TR_41000186,OR_31004092,"Net Banking",No
TR_41000187,OR_31008023,"Net Banking",Yes
TR_41000188,OR_31000598,"Net Banking",No
TR_41000189,OR_31001556,Wallet,Yes
TR_41000190,OR_31008962,UPI,Yes
TR_41000191,OR_31001957,"Credit Card",Yes
TR_41000192,OR_31009491,UPI,No
TR_41000193,OR_31006878,UPI,Yes
TR_41000194,OR_31005269,UPI,No
TR_41000195,OR_31009408,"Credit Card",Yes
TR_41000196,OR_31005912,"Credit Card",No
TR_41000197,OR_31003288,UPI,No
TR_41000198,OR_31009558,Wallet,Yes
TR_41000199,OR_31000134,"Credit Card",No
TR_41000200,OR_31004009,"Net Banking",No
TR_41000201,OR_31001875,Wallet,No
TR_41000202,OR_31004296,"Net Banking",Yes
TR_41000203,OR_31004059,"Net Banking",No
TR_41000204,OR_31009950,Wallet,No
TR_41000205,OR_31000207,"Credit Card",No
TR_41000206,OR_31001545,"Debit Card",Yes
TR_41000207,OR_31007570,"Credit Card",Yes
TR_41000208,OR_31009399,Wallet,No
TR_41000209,OR_31005015,"Debit Card",No
TR_41000210,OR_31006814,"Net Banking",Yes
